Date,Close,High,Low,Open,Volume
2020-12-08,124.94999694824219,125.19000244140625,123.54000091552734,124.02999877929688,1398
2020-12-09,122.0199966430664,126.38999938964844,121.37000274658203,125.04000091552734,5488
2020-12-10,123.0,123.86000061035156,120.87999725341797,122.02999877929688,2797
2020-12-11,121.9000015258789,123.22000122070312,120.58999633789062,123.0,1662
2020-12-12,122.86000061035156,122.87000274658203,121.55000305175781,121.9000015258789,1211
2020-12-13,123.05999755859375,123.36000061035156,122.86000061035156,122.86000061035156,1433
2020-12-14,122.3499984741211,123.5199966430664,122.01000213623047,123.0999984741211,1544
2020-12-15,127.79000091552734,127.87000274658203,122.11000061035156,122.33999633789062,652
2020-12-16,128.11000061035156,128.6300048828125,126.76000213623047,127.83999633789062,674
2020-12-17,129.1199951171875,129.47999572753906,128.02000427246094,128.11000061035156,1167
2020-12-18,127.38999938964844,129.4600067138672,126.43000030517578,129.1199951171875,3578
2020-12-19,127.8499984741211,127.8499984741211,126.5,127.38999938964844,879
2020-12-20,127.5199966430664,128.44000244140625,127.48999786376953,127.8499984741211,338
2020-12-21,128.44000244140625,129.6699981689453,123.86000061035156,127.52999877929688,1031
2020-12-22,131.72000122070312,134.2100067138672,128.44000244140625,128.44000244140625,9734
2020-12-23,131.6300048828125,132.5399932861328,131.22000122070312,131.72000122070312,1499
2020-12-24,132.16000366210938,133.05999755859375,130.88999938964844,131.6199951171875,3300
2020-12-25,132.61000061035156,132.61000061035156,132.00999450683594,132.16000366210938,8048
2020-12-26,132.86000061035156,132.88999938964844,131.5500030517578,132.61000061035156,1086
2020-12-27,132.30999755859375,132.97999572753906,131.60000610351562,132.86000061035156,2589
2020-12-28,136.9499969482422,137.25,132.3000030517578,132.3300018310547,4810
2020-12-29,135.47000122070312,138.7899932861328,134.82000732421875,136.9499969482422,10730
2020-12-30,134.2899932861328,135.94000244140625,133.89999389648438,135.4600067138672,11484
2020-12-31,132.63999938964844,134.67999267578125,132.27999877929688,134.2899932861328,8123
2021-01-01,132.6999969482422,133.63999938964844,132.36000061035156,132.64999389648438,685
2021-01-02,132.22999572753906,133.42999267578125,132.22000122070312,132.6999969482422,5259
